Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team,date
Michael Doleac,5:00,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,ORL,20010422
Monty Williams,5:00,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,2,ORL,20010422
Don Reid,5:00,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,4,0,-4,ORL,20010422
Sam Cassell,39:00:00,5,18,0.278,0,3,0,6,7,0.857,0,5,5,8,1,0,2,5,16,11,MIL,20010422
Ray Allen,36:00:00,6,15,0.4,2,3,0.667,4,4,1,2,3,5,6,3,0,0,2,18,14,MIL,20010422
Glenn Robinson,33:00:00,6,19,0.316,1,3,0.333,1,1,1,5,7,12,7,1,1,2,4,14,7,MIL,20010422
Scott Williams,27:00:00,8,11,0.727,0,0,0,3,4,0.75,7,9,16,0,2,1,4,3,19,18,MIL,20010422
Mark Pope,14:00,1,4,0.25,0,0,0,0,0,0,1,2,3,0,1,0,0,3,2,-1,MIL,20010422
Jason Caffey,25:00:00,3,7,0.429,0,0,0,2,3,0.667,1,1,2,0,0,1,1,2,8,-2,MIL,20010422
Ervin Johnson,23:00,6,9,0.667,0,0,0,0,5,0,7,3,10,1,0,0,0,1,12,5,MIL,20010422
Lindsey Hunter,22:00,0,7,0,0,6,0,2,2,1,0,2,2,1,0,0,0,1,2,6,MIL,20010422
Tim Thomas,20:00,4,7,0.571,2,3,0.667,2,2,1,0,4,4,3,1,1,2,4,12,7,MIL,20010422
Rafer Alston,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIL,20010422
Antonio Davis,46:00:00,6,13,0.462,0,0,0,7,8,0.875,6,9,15,1,0,0,3,1,19,-6,TOR,20010422
Vince Carter,46:00:00,5,22,0.227,0,1,0,3,5,0.6,2,5,7,5,1,1,5,3,13,-3,TOR,20010422
Alvin Williams,41:00:00,9,19,0.474,0,2,0,1,2,0.5,1,2,3,8,3,0,0,4,19,-6,TOR,20010422
Charles Oakley,37:00:00,6,13,0.462,0,1,0,0,0,0,0,4,4,2,2,0,1,4,12,-12,TOR,20010422
Morris Peterson,22:00,2,6,0.333,0,0,0,2,2,1,0,3,3,4,2,0,1,3,6,-4,TOR,20010422
Chris Childs,19:00,3,7,0.429,1,4,0.25,0,0,0,0,2,2,3,0,0,1,4,7,-8,TOR,20010422
Dell Curry,17:00,3,7,0.429,1,3,0.333,0,0,0,0,1,1,1,0,0,0,0,7,-3,TOR,20010422
Keon Clark,12:00,1,1,1,0,0,0,0,3,0,0,2,2,1,0,1,0,1,2,7,TOR,20010422
